,water_depth (m),shear_stress (Pa),sea_tem (℃),x_velocity (m/s),y_velocity (m/s)
2016-01-13 07:00:00,1.2614027,0.09735104,27.263872,-0.08547283,-0.113800876
2016-01-13 08:00:00,1.0733774,0.10193018,28.267326,0.051779114,0.13198955
2016-01-13 09:00:00,0.7019398,0.24168336,28.950722,0.11577285,0.16722062
2016-01-13 10:00:00,0.34285623,0.3908364,29.5788,0.14812939,0.17525657
2016-01-13 11:00:00,0.14694837,0.21443512,29.311943,0.092416264,0.11490943
2016-01-13 12:00:00,0.06907649,0.05339806,27.991339,0.030839987,0.056849625
2016-01-13 13:00:00,0.024675222,0.049437404,25.741657,0.007136239,0.05105895
2016-01-13 14:00:00,0.004113122,0.00018249961,24.320236,-0.001817265,0.0013850802
2016-01-13 15:00:00,0.0012861287,0.0,23.208647,0.0071693943,0.005108912
2016-01-13 16:00:00,0.078173906,0.19247872,23.675066,0.022616738,-0.12321566
2016-01-13 17:00:00,0.85232466,0.30310827,26.079004,-0.10418959,-0.21083891
2016-01-13 18:00:00,1.340689,0.22379251,26.192507,-0.095278546,-0.19606684
2016-01-13 19:00:00,1.4324056,0.00775479,25.982817,-0.038953356,-0.012895833
2016-01-13 20:00:00,1.1260614,0.28382307,25.864227,0.10937481,0.21193874
2016-01-13 21:00:00,0.7083732,0.32655558,25.147495,0.12854531,0.19884446
2016-01-13 22:00:00,0.34206733,0.44037208,24.743544,0.15136462,0.19073868
2016-01-13 23:00:00,0.15051386,0.24137683,24.638819,0.09277513,0.12678207
2016-01-14 00:00:00,0.07219828,0.048934948,25.800787,0.01909702,0.0594113
2016-01-14 01:00:00,0.020346465,0.033750605,29.680185,-0.04133184,-0.0047616772
2016-01-14 02:00:00,0.0054528564,0.037033167,33.923286,-0.02989258,-0.017778128
2016-01-14 03:00:00,0.0034766006,0.026567305,37.409542,-0.020685207,-0.017363135
2016-01-14 04:00:00,0.000996428,0.0,39.08557,0.0,0.0
2016-01-14 05:00:00,0.0009980049,0.0,39.074745,0.0,0.0
2016-01-14 06:00:00,0.67508626,0.4357364,30.665846,-0.115971774,-0.24510695
2016-01-14 07:00:00,1.2920827,0.25540683,28.415117,-0.095323846,-0.21090218
2016-01-14 08:00:00,1.3217022,0.01194497,28.330263,-0.008506104,0.0495228
2016-01-14 09:00:00,0.98820007,0.26459986,29.030857,0.11844835,0.19166245
2016-01-14 10:00:00,0.57466656,0.36028317,30.14435,0.1459594,0.19073175
2016-01-14 11:00:00,0.25044978,0.44666347,29.819218,0.15229557,0.1760516
2016-01-14 12:00:00,0.1201057,0.20997502,28.597385,0.08782553,0.11025506
